Country,Year,Seizures
India,2000,52
India,2001,72
India,2002,46
India,2003,38
India,2004,38
India,2005,46
India,2006,37
India,2007,27
India,2008,29
India,2009,32
India,2010,30
India,2011,13
India,2012,32
India,2013,43
India,2014,23
India,2015,26
India,2016,50
India,2017,38
India,2018,34
India,2019,38
India,2020,31
India,2021,56
India,2022,39
India,2023,14
Bangladesh,2000,5
Bangladesh,2001,2
Bangladesh,2004,1
Bangladesh,2006,1
Bangladesh,2008,1
Bangladesh,2009,2
Bangladesh,2010,1
Bangladesh,2011,4
Bangladesh,2012,4
Bangladesh,2014,1
Bangladesh,2015,7
Bangladesh,2016,3
Bangladesh,2017,1
Bhutan,2001,1
Bhutan,2003,1
Bhutan,2006,1
Bhutan,2008,1
Bhutan,2012,1
Bhutan,2013,1
Bhutan,2015,1
Cambodia,2000,3
Cambodia,2013,1
Cambodia,2018,1
China,2001,4
China,2002,7
China,2003,3
China,2004,3
China,2005,6
China,2006,6
China,2007,8
China,2008,10
China,2009,9
China,2010,9
China,2011,7
China,2012,8
China,2013,14
China,2014,13
China,2015,7
China,2016,3
China,2017,2
China,2018,7
Indonesia,2002,1
Indonesia,2003,1
Indonesia,2004,4
Indonesia,2005,4
Indonesia,2006,8
Indonesia,2008,6
Indonesia,2009,9
Indonesia,2010,5
Indonesia,2011,6
Indonesia,2012,3
Indonesia,2013,8
Indonesia,2014,9
Indonesia,2015,16
Indonesia,2016,19
Indonesia,2017,11
Indonesia,2018,9
Nepal,2000,5
Nepal,2001,4
Nepal,2002,1
Nepal,2004,8
Nepal,2005,6
Nepal,2006,8
Nepal,2007,4
Nepal,2008,7
Nepal,2009,11
Nepal,2010,12
Nepal,2011,6
Nepal,2012,5
Nepal,2013,7
Nepal,2014,3
Nepal,2015,6
Russia,2000,1
Russia,2001,1
Russia,2002,1
Russia,2003,1
Russia,2004,1
Russia,2005,1
Russia,2007,3
Russia,2008,1
Russia,2009,1
Russia,2010,5
Russia,2011,3
Russia,2012,3
Russia,2013,5
Russia,2014,1
Russia,2015,4
Russia,2017,1
Russia,2018,1
Malaysia,2001,3
Malaysia,2003,5
Malaysia,2005,3
Malaysia,2006,1
Malaysia,2007,2
Malaysia,2008,4
Malaysia,2009,5
Malaysia,2010,8
Malaysia,2011,6
Malaysia,2012,5
Malaysia,2013,1
Malaysia,2015,1
Malaysia,2016,4
Malaysia,2017,2
Malaysia,2018,3
Vietnam,2004,1
Vietnam,2005,2
Vietnam,2006,4
Vietnam,2007,4
Vietnam,2008,13
Vietnam,2009,6
Vietnam,2010,8
Vietnam,2011,3
Vietnam,2012,11
Vietnam,2013,3
Vietnam,2014,5
Vietnam,2015,4
Vietnam,2016,4
Vietnam,2017,12
Vietnam,2018,9
Thailand,2003,1
Thailand,2004,2
Thailand,2005,2
Thailand,2006,2
Thailand,2008,4
Thailand,2009,8
Thailand,2010,5
Thailand,2011,1
Thailand,2012,10
Thailand,2013,1
Thailand,2014,3
Thailand,2015,2
Thailand,2016,4
Thailand,2017,1
Thailand,2018,2
Myanmar,2009,1
Myanmar,2014,1
Myanmar,2015,2
Myanmar,2017,1
Laos,2005,2
Laos,2008,3
Laos,2009,1
Laos,2012,1
Laos,2007,2
Outside TRCs,2000,1
Outside TRCs,2001,1
Outside TRCs,2003,1
Outside TRCs,2005,1
Outside TRCs,2008,1
Outside TRCs,2009,1
Outside TRCs,2010,2
Outside TRCs,2011,5
Outside TRCs,2012,5
Outside TRCs,2013,9
Outside TRCs,2014,3
Outside TRCs,2015,2
Outside TRCs,2016,4
Outside TRCs,2017,8
Outside TRCs,2018,12
